id,wine_name,price,domaine,pays,region,couleur,millesime,appellation,culture,cepages,degre_alcool,temperature_min,temperature_max,boire_en,garder_jusquà
644d628e5d3b9d87ff312ef8,DomainelaLôyaneCuvéeBonheurRouge2021,9.9,DomaineLaLôyane,France,Rhône,Rouge,2021,CôtesduRhône,conversion_bio,Grenache,14.0,16,13,2020,2026
644d628e5d3b9d87ff312ef9,M.ChapoutierlesVignesdeBila-HautRouge2021,8.5,M.Chapoutier,France,Languedoc-Roussillon,Rouge,2021,CôtesduRoussillonVillages,raisonnée,Syrah,13.259830377794911,16,18,2022,2025
644d628e5d3b9d87ff312efa,LaSeigneurieSaumur-ChampignyVieillesVignesàPierrot2020,12.0,LaSeigneurie,France,Loire,Rouge,2020,Saumur-Champigny,conventionnelle,CabernetFranc,14.0,16,18,2023,2028
644d628e5d3b9d87ff312efb,DomainedeBeyssacInitialRouge2020,10.9,DomaineDeBeyssac,France,Sud-Ouest,Rouge,2020,Côtes-du-Marmandais,biologique,Merlot,13.5,12,13,2020,2024
644d628e5d3b9d87ff312efc,DomainelaLôyaneCuvéeBonheurBlanc2021,9.9,DomaineLaLôyane,France,Rhône,Blanc,2021,CôtesduRhône,conversion_bio,Grenacheblanc,13.5,10,12,2020,2024
644d628e5d3b9d87ff312efd,LouisJadotMâcon-VillagesGrangeMagnienBlanc2021,19.9,LouisJadot,France,Bourgogne,Blanc,2021,MâconVillages,conventionnelle,Chardonnay,12.5,8,10,2022,2025
644d628e5d3b9d87ff312efe,UbyN3ColombardSauvignon,5.6,DomaineUby,France,Sud-Ouest,Blanc,2021,CôtesdeGascogne,conventionnelle,Colombard,11.0,12,13,2020,2024
644d628e5d3b9d87ff312eff,MaisonVentenacPréjugésChardonnay2022,10.0,MaisonVentenac,France,Languedoc-Roussillon,Blanc,2022,VindeFrance,raisonnée,Chardonnay,12.5,18,13,2022,2026
644d628e5d3b9d87ff312f00,UbyN6Rosé,6.1,DomaineUby,France,Sud-Ouest,Rosé,2019,CôtesdeGascogne,conventionnelle,,13.259830377794911,10,13,2020,2023
644d628e5d3b9d87ff312f01,DomaineCasanovaGrisRosé2022,6.9,"""VigneronsDaghione""",France,Corse,Rosé,2022,îledeBeauté,conventionnelle,,13.259830377794911,10,12,2022,2023
644d628e5d3b9d87ff312f02,LesHautsdeSmithRosé2022,15.9,ChâteauSmithHautLafitte,France,Bordeaux,Rosé,2022,Bordeauxrosé,conventionnelle,CabernetSauvignon,13.259830377794911,9,10,2022,2023
644d628e5d3b9d87ff312f03,ChâteauTourSaintHonoréLAprèsPlageRosé2022,7.5,ChâteauTourSaintHonoré,France,Provence,Rosé,2022,Var,conventionnelle,,13.0,10,12,2023,2024
644d628e5d3b9d87ff312f04,DomainelaLôyaneCuvéeBonheurRouge2021,9.9,DomaineLaLôyane,France,Rhône,Rouge,2021,CôtesduRhône,conversion_bio,Grenache,14.0,16,13,2020,2026
644d628e5d3b9d87ff312f05,UbyN6Rosé,6.1,DomaineUby,France,Sud-Ouest,Rosé,2019,CôtesdeGascogne,conventionnelle,,13.259830377794911,10,13,2020,2023
644d628e5d3b9d87ff312f06,DomainelaLôyaneCuvéeBonheurBlanc2021,9.9,DomaineLaLôyane,France,Rhône,Blanc,2021,CôtesduRhône,conversion_bio,Grenacheblanc,13.5,10,12,2020,2024
644d628e5d3b9d87ff312f07,LouisJadotMâcon-VillagesGrangeMagnienBlanc2021,19.9,LouisJadot,France,Bourgogne,Blanc,2021,MâconVillages,conventionnelle,Chardonnay,12.5,8,10,2022,2025
644d628e5d3b9d87ff312f08,M.ChapoutierlesVignesdeBila-HautRouge2021,8.5,M.Chapoutier,France,Languedoc-Roussillon,Rouge,2021,CôtesduRoussillonVillages,raisonnée,Syrah,13.259830377794911,16,18,2022,2025
